title,category,brand,price,stars,reviews,isBestSeller
Zara Clothing Product,Clothing,Zara,28.58,4.6,196,0
Nestle Food Product,Food,Nestle,7.55,4.3,93,0
Penguin Books Product,Books,Penguin,171.89,3.8,86,0
Anker Electronics Product,Electronics,Anker,43.05,3.9,159,0
Zara Clothing Product,Clothing,Zara,224.84,4.6,486,0
Nike Sports Product,Sports,Nike,6.41,4.5,302,0
3M Automotive Product,Automotive,3M,1.0,4.0,825,0
Bose Electronics Product,Electronics,Bose,54.4,5.0,126,0
Wilson Sports Product,Sports,Wilson,131.57,4.5,1750,0
HarperCollins Books Product,Books,HarperCollins,4.15,5.0,105,0
OXO Home & Kitchen Product,Home & Kitchen,OXO,200.9,4.2,88,0
Nike Clothing Product,Clothing,Nike,32.54,4.7,45,0
Wiley Books Product,Books,Wiley,8.35,3.8,195,0
Makita Tools Product,Tools,Makita,51.41,3.6,28,0
Levi's Clothing Product,Clothing,Levi's,58.05,4.2,216,0
Wilson Sports Product,Sports,Wilson,7.13,3.4,4,0
Nike Sports Product,Sports,Nike,85.05,4.0,18,0
Black+Decker Tools Product,Tools,Black+Decker,61.41,4.9,11,0
Apple Electronics Product,Electronics,Apple,41.01,4.2,161,0
General Mills Food Product,Food,General Mills,15.61,2.9,458,1
Armor All Automotive Product,Automotive,Armor All,66.15,4.4,144,0
HarperCollins Books Product,Books,HarperCollins,8.14,3.2,14,0
Kellogg's Food Product,Food,Kellogg's,5.09,4.3,69,0
Kraft Food Product,Food,Kraft,23.16,5.0,199,0
Bosch Automotive Product,Automotive,Bosch,2.98,4.8,67,0
Random House Books Product,Books,Random House,6.18,4.5,14,0
Neutrogena Beauty Product,Beauty,Neutrogena,86.23,4.3,0,0
Armor All Automotive Product,Automotive,Armor All,65.34,4.7,160,0
Adidas Sports Product,Sports,Adidas,13.25,3.1,142,0
Apple Electronics Product,Electronics,Apple,25.63,4.3,141,0
Nike Clothing Product,Clothing,Nike,13.5,2.9,170,0
Wiley Books Product,Books,Wiley,16.46,4.4,20,1
Makita Tools Product,Tools,Makita,582.81,3.8,621,0
Reebok Sports Product,Sports,Reebok,40.6,4.3,28,0
Rain-X Automotive Product,Automotive,Rain-X,28.68,4.3,626,0
Zara Clothing Product,Clothing,Zara,16.63,3.8,250,0
Milwaukee Tools Product,Tools,Milwaukee,257.53,4.7,112,0
Zara Clothing Product,Clothing,Zara,116.97,3.7,139,0
Apple Electronics Product,Electronics,Apple,96.63,4.3,239,0
Hasbro Toys Product,Toys,Hasbro,5.62,4.9,20,0
LG Electronics Product,Electronics,LG,58.88,5.0,197642,0
Under Armour Sports Product,Sports,Under Armour,202.7,4.4,1269,0
Melissa & Doug Toys Product,Toys,Melissa & Doug,23.95,3.6,635,0
Instant Pot Home & Kitchen Product,Home & Kitchen,Instant Pot,163.45,5.0,382,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,28.95,4.4,38,0
Kraft Food Product,Food,Kraft,46.34,3.5,141,0
Rain-X Automotive Product,Automotive,Rain-X,11.58,4.3,2205,0
Adidas Sports Product,Sports,Adidas,16.07,5.0,9,0
Bosch Automotive Product,Automotive,Bosch,29.72,4.7,16,0
OXO Home & Kitchen Product,Home & Kitchen,OXO,7.52,3.5,38,0
Milwaukee Tools Product,Tools,Milwaukee,119.72,3.9,0,0
OXO Home & Kitchen Product,Home & Kitchen,OXO,5.12,2.5,2194,0
Gap Clothing Product,Clothing,Gap,32.85,3.4,97,0
Anker Electronics Product,Electronics,Anker,304.52,4.9,1,0
L'Oreal Beauty Product,Beauty,L'Oreal,12.69,4.1,135203,0
Anker Electronics Product,Electronics,Anker,6.45,3.1,646,0
Anker Electronics Product,Electronics,Anker,121.92,4.0,202,0
Adidas Clothing Product,Clothing,Adidas,1.38,4.9,89,0
OXO Home & Kitchen Product,Home & Kitchen,OXO,16.76,4.1,475,0
Gap Clothing Product,Clothing,Gap,180.9,4.3,12358,0
Olay Beauty Product,Beauty,Olay,143.54,2.9,44,0
Bosch Automotive Product,Automotive,Bosch,17.65,4.5,275,0
Random House Books Product,Books,Random House,87.94,3.6,1024,0
Instant Pot Home & Kitchen Product,Home & Kitchen,Instant Pot,9.05,4.6,54,0
Maybelline Beauty Product,Beauty,Maybelline,4.46,5.0,1527,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,14.22,3.4,205,0
Wilson Sports Product,Sports,Wilson,147.83,2.9,104,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,17.22,4.4,1162,0
L'Oreal Beauty Product,Beauty,L'Oreal,509.88,2.5,443,0
DeWalt Tools Product,Tools,DeWalt,40.65,4.1,18041,0
Wiley Books Product,Books,Wiley,41.89,3.6,49,0
Black+Decker Tools Product,Tools,Black+Decker,16.88,4.4,20,0
Hasbro Toys Product,Toys,Hasbro,231.51,5.0,292,0
Apple Electronics Product,Electronics,Apple,178.52,3.9,98,0
Hasbro Toys Product,Toys,Hasbro,25.28,4.9,2095,0
Armor All Automotive Product,Automotive,Armor All,28.41,4.5,4605,0
Bosch Automotive Product,Automotive,Bosch,47.34,3.2,24,0
Bose Electronics Product,Electronics,Bose,18.61,5.0,69,0
Samsung Electronics Product,Electronics,Samsung,83.23,5.0,115,0
Wiley Books Product,Books,Wiley,108.08,3.8,5879,0
DeWalt Tools Product,Tools,DeWalt,40.99,3.4,1218,0
Nike Sports Product,Sports,Nike,155.02,4.8,964,0
Stanley Tools Product,Tools,Stanley,55.45,4.3,28,0
Campbell's Food Product,Food,Campbell's,12.39,4.6,16,0
Norton Books Product,Books,Norton,18.94,4.7,808,1
Armor All Automotive Product,Automotive,Armor All,11.86,5.0,1393,0
General Mills Food Product,Food,General Mills,164.13,4.4,162,0
Penguin Books Product,Books,Penguin,45.63,4.7,39,1
Nestle Food Product,Food,Nestle,77.95,4.2,642,0
Dyson Home & Kitchen Product,Home & Kitchen,Dyson,17.8,5.0,126,0
Rain-X Automotive Product,Automotive,Rain-X,4.4,3.1,432,0
Zara Clothing Product,Clothing,Zara,6.6,3.6,55,0
DeWalt Tools Product,Tools,DeWalt,24.68,3.7,18,0
Wilson Sports Product,Sports,Wilson,65.09,3.3,15422,0
Armor All Automotive Product,Automotive,Armor All,29.47,4.2,89,0
Melissa & Doug Toys Product,Toys,Melissa & Doug,28.39,3.9,4,0
Meguiar's Automotive Product,Automotive,Meguiar's,182.11,3.9,343,0
Gap Clothing Product,Clothing,Gap,173.11,4.6,4,0
Adidas Sports Product,Sports,Adidas,2.24,3.7,48,0
Nike Clothing Product,Clothing,Nike,60.83,4.1,426,0
Hasbro Toys Product,Toys,Hasbro,31.82,5.0,11,0
Wilson Sports Product,Sports,Wilson,32.47,4.9,126,0
Kraft Food Product,Food,Kraft,162.17,3.5,183,0
Hasbro Toys Product,Toys,Hasbro,21.03,4.5,23,0
Milwaukee Tools Product,Tools,Milwaukee,111.08,5.0,473,0
Kellogg's Food Product,Food,Kellogg's,21.23,3.7,447,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,34.28,5.0,0,0
Samsung Electronics Product,Electronics,Samsung,6.48,4.6,251,0
Gap Clothing Product,Clothing,Gap,137.51,4.1,86,0
Wilson Sports Product,Sports,Wilson,17.0,4.5,530,0
LG Electronics Product,Electronics,LG,38.84,3.8,69,0
HarperCollins Books Product,Books,HarperCollins,374.08,3.8,208,0
Bose Electronics Product,Electronics,Bose,129.53,3.9,43,1
HarperCollins Books Product,Books,HarperCollins,7.57,4.1,624,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,13.9,4.6,19,0
Rain-X Automotive Product,Automotive,Rain-X,55.53,4.3,1040,0
Nike Clothing Product,Clothing,Nike,3.61,3.9,62,0
Wiley Books Product,Books,Wiley,50.63,4.0,380,0
Rain-X Automotive Product,Automotive,Rain-X,45.77,4.1,551,0
Norton Books Product,Books,Norton,61.35,4.0,7149,0
DeWalt Tools Product,Tools,DeWalt,5.98,4.6,177,0
Melissa & Doug Toys Product,Toys,Melissa & Doug,90.81,3.8,59,0
Meguiar's Automotive Product,Automotive,Meguiar's,26.91,3.8,126,0
DeWalt Tools Product,Tools,DeWalt,102.29,4.7,21,0
Fisher-Price Toys Product,Toys,Fisher-Price,62.17,5.0,1,0
Penguin Books Product,Books,Penguin,24.62,3.8,4,0
Mattel Toys Product,Toys,Mattel,99.8,4.5,5,0
Armor All Automotive Product,Automotive,Armor All,255.2,5.0,227,0
3M Automotive Product,Automotive,3M,151.14,4.5,226,0
Instant Pot Home & Kitchen Product,Home & Kitchen,Instant Pot,167.63,4.5,126,1
Kraft Food Product,Food,Kraft,72.26,5.0,271,0
Adidas Clothing Product,Clothing,Adidas,21.67,3.0,449,0
Under Armour Sports Product,Sports,Under Armour,6.87,4.9,165,0
Kraft Food Product,Food,Kraft,18.13,4.3,3,0
Bose Electronics Product,Electronics,Bose,29.66,4.5,938,0
Instant Pot Home & Kitchen Product,Home & Kitchen,Instant Pot,5.08,5.0,402,0
HarperCollins Books Product,Books,HarperCollins,68.02,4.9,42583,0
Zara Clothing Product,Clothing,Zara,147.76,4.1,39,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,48.84,4.0,133,0
Bosch Automotive Product,Automotive,Bosch,14.54,4.4,274,0
Random House Books Product,Books,Random House,7.0,4.9,539,0
CeraVe Beauty Product,Beauty,CeraVe,27.65,4.8,65,0
DeWalt Tools Product,Tools,DeWalt,458.38,3.4,3984,0
Fisher-Price Toys Product,Toys,Fisher-Price,178.65,3.2,73,0
Samsung Electronics Product,Electronics,Samsung,18.89,5.0,1113,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,7.5,4.6,28,0
Samsung Electronics Product,Electronics,Samsung,259.54,4.7,88,0
Penguin Books Product,Books,Penguin,99.44,4.4,113,0
Norton Books Product,Books,Norton,9.22,4.3,19,0
HarperCollins Books Product,Books,HarperCollins,13.75,4.5,29,0
Melissa & Doug Toys Product,Toys,Melissa & Doug,29.27,4.2,41,0
Bosch Automotive Product,Automotive,Bosch,124.79,4.9,35,0
Wilson Sports Product,Sports,Wilson,3.59,4.8,24,0
DeWalt Tools Product,Tools,DeWalt,110.63,4.0,572,0
Makita Tools Product,Tools,Makita,24.71,4.8,64,0
Mattel Toys Product,Toys,Mattel,78.71,4.6,104,0
Bosch Automotive Product,Automotive,Bosch,125.35,3.3,224,0
H&M Clothing Product,Clothing,H&M,470.89,4.9,168,0
Mattel Toys Product,Toys,Mattel,7.96,4.4,261,0
Makita Tools Product,Tools,Makita,69.89,4.2,946,0
Kellogg's Food Product,Food,Kellogg's,6.25,3.2,195,0
Maybelline Beauty Product,Beauty,Maybelline,41.07,5.0,767,0
Reebok Sports Product,Sports,Reebok,38.67,4.4,81,0
Hasbro Toys Product,Toys,Hasbro,31.8,3.6,44,0
Adidas Clothing Product,Clothing,Adidas,203.86,4.7,48,0
Makita Tools Product,Tools,Makita,17.32,4.5,54,0
General Mills Food Product,Food,General Mills,12.34,4.1,728,0
Kraft Food Product,Food,Kraft,702.93,4.4,619,0
3M Automotive Product,Automotive,3M,80.46,4.0,527,0
Reebok Sports Product,Sports,Reebok,86.79,3.9,99,0
Random House Books Product,Books,Random House,12.15,5.0,201,0
H&M Clothing Product,Clothing,H&M,21.65,4.5,13,1
H&M Clothing Product,Clothing,H&M,64.75,3.5,44,0
DeWalt Tools Product,Tools,DeWalt,12.62,5.0,101,0
Sony Electronics Product,Electronics,Sony,47.62,3.9,194,0
Dyson Home & Kitchen Product,Home & Kitchen,Dyson,8.84,3.8,73,0
LG Electronics Product,Electronics,LG,43.84,3.3,1317,0
Fisher-Price Toys Product,Toys,Fisher-Price,8.11,3.5,299,0
Penguin Books Product,Books,Penguin,32.63,4.3,66,0
General Mills Food Product,Food,General Mills,37.81,4.4,479,0
Kellogg's Food Product,Food,Kellogg's,2.01,3.9,17,0
Melissa & Doug Toys Product,Toys,Melissa & Doug,93.54,4.7,41,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,55.16,4.4,222,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,14.61,3.5,82,0
DeWalt Tools Product,Tools,DeWalt,159.51,4.2,50,0
Random House Books Product,Books,Random House,51.33,5.0,184,0
Apple Electronics Product,Electronics,Apple,459.57,4.6,306,0
Hasbro Toys Product,Toys,Hasbro,14.85,4.8,11,0
Random House Books Product,Books,Random House,9.55,5.0,10275,0
Black+Decker Tools Product,Tools,Black+Decker,32.14,4.7,220,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,12.69,4.4,125,0
Dyson Home & Kitchen Product,Home & Kitchen,Dyson,60.9,4.2,103,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,79.12,3.9,0,1
Norton Books Product,Books,Norton,6.86,3.3,182,0
Black+Decker Tools Product,Tools,Black+Decker,236.84,4.1,234,0
CeraVe Beauty Product,Beauty,CeraVe,14.14,4.7,27,0
LG Electronics Product,Electronics,LG,7.18,4.6,39,0
Instant Pot Home & Kitchen Product,Home & Kitchen,Instant Pot,1.55,4.8,19,0
Levi's Clothing Product,Clothing,Levi's,141.09,4.0,422,0
Maybelline Beauty Product,Beauty,Maybelline,25.05,3.6,604,0
Maybelline Beauty Product,Beauty,Maybelline,57.34,3.5,62,0
Wilson Sports Product,Sports,Wilson,10.04,4.2,169,0
Dyson Home & Kitchen Product,Home & Kitchen,Dyson,7.91,4.2,63,0
Armor All Automotive Product,Automotive,Armor All,6.38,3.2,115,0
Samsung Electronics Product,Electronics,Samsung,46.98,3.8,3477,0
Apple Electronics Product,Electronics,Apple,29.81,4.3,568,0
Maybelline Beauty Product,Beauty,Maybelline,10.61,2.9,37,0
Olay Beauty Product,Beauty,Olay,57.51,3.8,145,0
Bosch Automotive Product,Automotive,Bosch,85.77,4.9,657,0
Anker Electronics Product,Electronics,Anker,1.78,4.3,117,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,9.43,4.5,27,0
Mattel Toys Product,Toys,Mattel,68.62,5.0,82,0
LG Electronics Product,Electronics,LG,163.01,4.5,263,0
HarperCollins Books Product,Books,HarperCollins,15.3,4.8,13171,0
Reebok Sports Product,Sports,Reebok,43.64,3.7,13,0
Kellogg's Food Product,Food,Kellogg's,17.93,3.7,2596,0
Gap Clothing Product,Clothing,Gap,7.73,4.9,1305,0
Wiley Books Product,Books,Wiley,24.57,5.0,903,0
Neutrogena Beauty Product,Beauty,Neutrogena,27.76,4.0,474,0
HarperCollins Books Product,Books,HarperCollins,53.5,3.8,739,0
H&M Clothing Product,Clothing,H&M,47.97,5.0,205,0
Hasbro Toys Product,Toys,Hasbro,110.21,4.3,103,0
Kellogg's Food Product,Food,Kellogg's,63.24,4.4,50,0
Nestle Food Product,Food,Nestle,45.28,3.4,421,0
Penguin Books Product,Books,Penguin,75.48,2.9,153,0
General Mills Food Product,Food,General Mills,12.91,4.6,5170,0
Gap Clothing Product,Clothing,Gap,12.42,2.9,395,0
Adidas Clothing Product,Clothing,Adidas,6.04,3.1,342,1
Fisher-Price Toys Product,Toys,Fisher-Price,20.1,3.5,90,0
Zara Clothing Product,Clothing,Zara,210.72,5.0,179,0
HarperCollins Books Product,Books,HarperCollins,22.93,4.2,62,0
Gap Clothing Product,Clothing,Gap,119.24,4.7,15034,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,8.41,4.1,64,0
Norton Books Product,Books,Norton,83.74,4.7,56,0
Fisher-Price Toys Product,Toys,Fisher-Price,6.73,4.2,325,0
L'Oreal Beauty Product,Beauty,L'Oreal,50.77,4.2,25,0
Melissa & Doug Toys Product,Toys,Melissa & Doug,55.4,4.3,573,0
Gap Clothing Product,Clothing,Gap,16.44,3.4,116,0
Adidas Sports Product,Sports,Adidas,39.95,4.4,247,1
Maybelline Beauty Product,Beauty,Maybelline,37.33,4.3,0,0
Stanley Tools Product,Tools,Stanley,50.61,4.3,9,0
Fisher-Price Toys Product,Toys,Fisher-Price,10.54,3.6,591,0
Mattel Toys Product,Toys,Mattel,18.61,4.6,23,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,1.81,4.7,70,0
Random House Books Product,Books,Random House,35.89,4.5,3057,0
Bosch Automotive Product,Automotive,Bosch,54.06,4.2,21,0
Nike Sports Product,Sports,Nike,57.96,4.2,222,0
DeWalt Tools Product,Tools,DeWalt,19.84,3.9,43,0
L'Oreal Beauty Product,Beauty,L'Oreal,9.79,4.2,1069,0
DeWalt Tools Product,Tools,DeWalt,12.27,4.3,115,0
Wilson Sports Product,Sports,Wilson,19.34,5.0,94,0
Fisher-Price Toys Product,Toys,Fisher-Price,33.95,3.8,678,0
Nike Clothing Product,Clothing,Nike,15.25,3.7,25,0
Dyson Home & Kitchen Product,Home & Kitchen,Dyson,10.29,4.5,44,0
3M Automotive Product,Automotive,3M,51.45,5.0,173,0
H&M Clothing Product,Clothing,H&M,26.67,5.0,14,0
Makita Tools Product,Tools,Makita,159.39,3.9,6384,0
General Mills Food Product,Food,General Mills,51.17,5.0,251,0
3M Automotive Product,Automotive,3M,59.24,3.7,617,0
Zara Clothing Product,Clothing,Zara,24.08,4.5,16837,0
Anker Electronics Product,Electronics,Anker,84.62,4.5,59,0
Hasbro Toys Product,Toys,Hasbro,41.67,4.3,140,0
Olay Beauty Product,Beauty,Olay,131.43,5.0,25,0
CeraVe Beauty Product,Beauty,CeraVe,16.05,4.4,3,0
Campbell's Food Product,Food,Campbell's,59.18,4.1,15,0
Makita Tools Product,Tools,Makita,46.16,4.6,60,0
Hasbro Toys Product,Toys,Hasbro,36.01,4.8,41,0
Kellogg's Food Product,Food,Kellogg's,16.8,4.0,70,0
Kraft Food Product,Food,Kraft,142.68,5.0,72,0
Nike Clothing Product,Clothing,Nike,51.78,3.7,63,0
L'Oreal Beauty Product,Beauty,L'Oreal,93.82,4.0,35,0
Under Armour Sports Product,Sports,Under Armour,18.11,5.0,492,0
Samsung Electronics Product,Electronics,Samsung,70.93,4.9,45,0
CeraVe Beauty Product,Beauty,CeraVe,28.24,3.6,116,0
Armor All Automotive Product,Automotive,Armor All,159.03,4.0,125,1
3M Automotive Product,Automotive,3M,63.37,4.7,884,0
Makita Tools Product,Tools,Makita,65.58,5.0,252,0
Meguiar's Automotive Product,Automotive,Meguiar's,11.1,4.3,41,1
Rain-X Automotive Product,Automotive,Rain-X,86.48,3.2,55,0
Stanley Tools Product,Tools,Stanley,21.57,4.7,68,0
Olay Beauty Product,Beauty,Olay,18.07,4.7,101,0
Wiley Books Product,Books,Wiley,13.73,4.2,825,0
Anker Electronics Product,Electronics,Anker,106.72,4.5,1300,0
Neutrogena Beauty Product,Beauty,Neutrogena,30.24,4.7,20,0
Dyson Home & Kitchen Product,Home & Kitchen,Dyson,184.68,4.0,258,0
Instant Pot Home & Kitchen Product,Home & Kitchen,Instant Pot,448.15,4.1,4186,0
L'Oreal Beauty Product,Beauty,L'Oreal,517.53,4.3,9,0
Anker Electronics Product,Electronics,Anker,15.89,4.2,20,0
Samsung Electronics Product,Electronics,Samsung,25.43,3.0,31,0
OXO Home & Kitchen Product,Home & Kitchen,OXO,25.9,4.2,0,0
Instant Pot Home & Kitchen Product,Home & Kitchen,Instant Pot,22.83,3.1,105,0
Kraft Food Product,Food,Kraft,16.5,4.7,742,0
L'Oreal Beauty Product,Beauty,L'Oreal,30.66,3.8,2649,0
Rain-X Automotive Product,Automotive,Rain-X,66.35,4.4,301,0
Anker Electronics Product,Electronics,Anker,75.6,4.5,0,0
L'Oreal Beauty Product,Beauty,L'Oreal,229.22,4.7,16,0
Cuisinart Home & Kitchen Product,Home & Kitchen,Cuisinart,41.77,3.7,171,0
Kraft Food Product,Food,Kraft,61.21,4.1,297,0
Random House Books Product,Books,Random House,29.42,4.2,253,0
Stanley Tools Product,Tools,Stanley,56.94,3.6,441,0
Gap Clothing Product,Clothing,Gap,4.32,3.8,129,0
Campbell's Food Product,Food,Campbell's,40.12,3.6,69,0
Stanley Tools Product,Tools,Stanley,116.46,4.0,90,0
Milwaukee Tools Product,Tools,Milwaukee,45.37,4.8,37,0
H&M Clothing Product,Clothing,H&M,199.38,4.5,13,0
Kraft Food Product,Food,Kraft,222.02,4.7,329,0
Rain-X Automotive Product,Automotive,Rain-X,8.79,4.1,1480,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,35.15,4.1,254,0
Samsung Electronics Product,Electronics,Samsung,105.41,5.0,76,0
LEGO Toys Product,Toys,LEGO,34.25,4.5,20,0
Hasbro Toys Product,Toys,Hasbro,8.87,4.0,2,0
Adidas Sports Product,Sports,Adidas,29.6,4.3,1450,0
DeWalt Tools Product,Tools,DeWalt,42.19,3.7,22,1
Fisher-Price Toys Product,Toys,Fisher-Price,32.4,4.4,158,0
Under Armour Sports Product,Sports,Under Armour,19.69,4.8,795,0
Kellogg's Food Product,Food,Kellogg's,379.92,4.3,39,0
KitchenAid Home & Kitchen Product,Home & Kitchen,KitchenAid,47.08,3.5,500000,0
Random House Books Product,Books,Random House,70.62,3.8,424,0
LEGO Toys Product,Toys,LEGO,26.37,5.0,415,0
Nike Sports Product,Sports,Nike,62.09,4.4,19,0
Random House Books Product,Books,Random House,16.22,2.9,4,0
Neutrogena Beauty Product,Beauty,Neutrogena,40.19,4.0,119,1
LEGO Toys Product,Toys,LEGO,33.87,4.6,13,0
Mattel Toys Product,Toys,Mattel,1645.13,3.5,181,0
Makita Tools Product,Tools,Makita,117.6,4.3,13836,0
H&M Clothing Product,Clothing,H&M,29.14,5.0,103264,0
Samsung Electronics Product,Electronics,Samsung,67.51,2.4,242,0
Wiley Books Product,Books,Wiley,486.72,4.5,264,0
Makita Tools Product,Tools,Makita,103.93,4.5,54,1
LG Electronics Product,Electronics,LG,61.44,4.6,21,0
Reebok Sports Product,Sports,Reebok,137.92,4.6,935,0
Bosch Automotive Product,Automotive,Bosch,10.47,4.8,327,1
Levi's Clothing Product,Clothing,Levi's,123.48,5.0,346,1
Levi's Clothing Product,Clothing,Levi's,52.92,4.7,16,0
Fisher-Price Toys Product,Toys,Fisher-Price,56.65,3.7,295,0
Random House Books Product,Books,Random House,89.6,4.1,62,0
