world_rank,university_name,teaching,international,research,citations,industry_income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio
39,University #39,90.1,52.2,96.3,92.2,37.2,92.7,19635,13.8,27%,80 : 51
40,University #40,81.5,44.7,100.0,95.9,52.8,92.3,4783,27.3,40%,43 : 50
41,University #41,91.5,54.5,86.2,99.8,24.9,92.0,19790,19.7,28%,42 : 41
42,University #42,89.4,50.5,97.9,100.0,53.3,89.7,16450,9.1,16%,58 : 51
43,University #43,94.9,53.8,98.6,83.6,65.9,91.8,7441,28.1,18%,38 : 45
44,University #44,78.7,66.8,83.1,94.6,54.8,90.1,26320,18.8,13%,51 : 47
45,University #45,98.7,92.7,98.1,80.4,71.0,89.2,42205,10.2,3%,50 : 41
46,University #46,79.4,31.2,88.5,81.7,34.0,89.6,15083,11.3,15%,50 : 79
47,University #47,71.9,37.3,79.2,75.7,43.4,89.3,5895,10.0,33%,67 : 44
48,University #48,100.0,47.0,100.0,78.9,27.6,93.2,30042,14.1,21%,56 : 46
49,University #49,91.7,39.2,100.0,93.9,50.2,91.2,1146,16.1,41%,68 : 44
50,University #50,91.7,23.4,99.2,84.8,28.6,91.1,11537,15.6,36%,68 : 42
51,University #51,83.1,5.0,76.6,87.4,55.3,92.4,8724,17.7,29%,30 : 32
52,University #52,100.0,5.0,90.4,92.6,47.3,90.2,3685,22.7,32%,49 : 51
53,University #53,83.5,64.7,68.9,76.9,80.6,89.5,61681,12.7,38%,51 : 61
54,University #54,85.0,32.0,100.0,70.8,41.8,93.9,36888,16.2,17%,33 : 34
55,University #55,89.6,57.1,100.0,88.2,42.6,91.4,3593,14.4,7%,37 : 47
56,University #56,81.2,56.1,96.7,90.3,36.7,88.0,32166,6.9,27%,54 : 51
57,University #57,80.0,54.7,89.9,69.7,75.9,88.7,3407,11.6,1%,46 : 34
58,University #58,76.5,100.0,87.6,90.3,51.2,85.9,2982,9.7,10%,40 : 41
59,University #59,93.9,12.7,66.6,99.9,54.4,87.5,1258,12.3,11%,55 : 47
60,University #60,90.1,5.0,81.8,93.4,28.6,86.6,6540,5.0,42%,42 : 29
61,University #61,73.9,17.8,96.1,76.3,66.2,87.9,57499,6.6,28%,43 : 47
62,University #62,72.9,51.5,81.5,100.0,54.7,85.9,13249,17.2,22%,32 : 40
63,University #63,84.2,27.7,93.4,100.0,39.7,88.2,29738,7.6,43%,46 : 59
64,University #64,81.7,30.5,76.8,100.0,43.8,88.8,21682,14.6,27%,60 : 41
65,University #65,91.2,67.2,86.1,91.3,52.4,87.9,5457,5.0,22%,42 : 53
66,University #66,95.8,35.1,77.6,68.6,59.7,88.0,21893,11.3,1%,36 : 43
67,University #67,81.8,25.2,65.8,72.1,33.3,85.5,12371,11.3,23%,41 : 54
68,University #68,83.4,13.0,93.8,100.0,53.0,88.4,6513,12.2,35%,55 : 47
69,University #69,92.3,54.3,96.9,83.5,30.0,88.6,3351,13.6,5%,55 : 51
70,University #70,80.4,19.7,92.2,82.2,17.1,88.2,6054,7.8,3%,40 : 45
71,University #71,89.0,67.0,79.6,98.0,54.8,89.1,46760,7.5,10%,53 : 45
72,University #72,83.1,42.7,94.8,90.4,42.9,90.1,41038,12.6,1%,54 : 43
73,University #73,78.8,24.6,90.6,98.9,34.4,84.5,21894,5.4,33%,42 : 46
74,University #74,79.7,39.3,81.0,75.4,85.9,85.2,12108,13.7,23%,31 : 63
75,University #75,84.4,5.0,78.7,88.0,13.2,86.7,9909,11.1,50%,46 : 63
76,University #76,78.9,32.5,81.3,62.1,56.1,85.6,4967,26.5,19%,29 : 62
77,University #77,75.7,75.3,89.4,79.8,44.6,86.8,33920,19.7,11%,45 : 53
78,University #78,85.2,21.5,92.5,100.0,38.2,84.6,29348,6.1,9%,44 : 36
79,University #79,89.3,48.1,73.1,65.3,47.3,82.5,11007,10.7,41%,29 : 36
80,University #80,88.1,35.7,74.8,79.3,35.6,82.5,49823,7.3,14%,46 : 40
81,University #81,91.3,80.4,90.0,100.0,52.5,82.5,13067,10.5,23%,40 : 54
82,University #82,73.9,69.0,82.4,71.7,37.3,82.3,9545,14.3,13%,24 : 55
83,University #83,89.4,9.7,79.3,61.7,39.6,83.5,913,10.8,1%,57 : 43
84,University #84,93.6,100.0,88.7,91.2,47.4,84.0,7776,26.3,22%,61 : 69
85,University #85,82.3,65.5,75.4,83.1,51.2,87.2,30445,11.4,35%,38 : 35
86,University #86,72.7,54.0,87.8,78.9,48.8,82.5,79518,5.2,19%,40 : 49
87,University #87,78.4,27.0,96.3,98.7,70.7,84.8,14693,37.2,42%,41 : 56
88,University #88,96.2,27.8,69.3,81.7,53.0,86.5,5344,23.0,11%,62 : 47
89,University #89,84.8,23.5,86.7,89.7,64.5,84.9,3352,8.8,66%,36 : 67
90,University #90,91.6,47.1,98.6,58.4,10.0,84.9,13574,16.6,39%,55 : 46
91,University #91,73.1,51.7,67.0,79.7,78.0,80.4,7246,13.8,27%,28 : 50
92,University #92,77.2,27.0,74.5,99.0,32.6,85.1,5168,8.9,20%,55 : 36
93,University #93,74.5,27.9,77.2,84.2,44.6,82.9,21096,13.6,13%,68 : 57
94,University #94,78.8,41.8,67.9,86.0,51.3,84.2,6603,15.4,18%,50 : 56
95,University #95,78.2,56.6,64.4,96.9,60.6,82.5,16805,16.3,20%,53 : 44
96,University #96,81.0,51.5,84.1,75.2,20.9,84.6,10859,14.0,12%,45 : 44
97,University #97,86.5,35.8,91.9,67.6,32.6,82.2,2366,11.4,6%,34 : 47
98,University #98,70.5,15.7,72.5,72.3,33.1,80.3,25362,9.4,19%,49 : 48
99,University #99,82.6,67.9,84.0,98.7,29.7,81.1,47649,9.6,12%,50 : 54
100,University #100,86.3,66.8,75.6,69.9,61.3,81.9,2089,38.7,48%,62 : 50
101,University #101,79.6,7.3,100.0,69.1,87.7,80.3,7007,12.0,13%,53 : 64
102,University #102,69.8,63.9,89.1,85.1,42.0,79.5,75570,16.1,2%,29 : 52
103,University #103,70.8,73.9,72.8,75.9,33.4,79.7,13702,12.8,16%,65 : 47
104,University #104,81.9,42.5,72.0,71.0,78.5,78.7,26280,18.4,36%,59 : 51
105,University #105,88.8,41.0,70.2,78.4,54.5,77.8,7648,9.0,9%,32 : 51
106,University #106,85.5,60.9,79.0,87.0,33.8,81.3,12582,5.0,35%,41 : 50
107,University #107,79.0,25.4,85.6,78.6,40.2,76.4,3250,8.8,11%,47 : 69
108,University #108,86.4,48.4,83.1,69.6,35.2,80.7,22346,15.6,33%,55 : 38
109,University #109,74.4,34.5,80.4,66.9,65.3,76.3,8177,19.5,41%,46 : 55
110,University #110,72.7,5.0,65.6,98.8,74.5,79.9,4473,31.6,45%,56 : 50
111,University #111,70.7,69.6,88.2,74.3,10.0,81.6,4832,9.2,10%,48 : 80
112,University #112,94.2,64.7,64.9,56.6,75.2,79.5,40014,5.8,30%,44 : 57
113,University #113,78.9,64.5,78.0,86.5,100.0,79.7,4486,14.8,20%,56 : 56
114,University #114,76.0,93.1,85.9,88.1,69.9,81.7,7936,6.6,26%,39 : 49
115,University #115,89.8,5.0,64.6,71.2,100.0,79.7,6729,23.7,32%,44 : 49
116,University #116,71.6,73.5,89.2,88.7,57.8,80.9,38581,9.0,28%,55 : 44
117,University #117,68.3,41.6,79.1,79.9,27.7,76.6,7426,14.2,8%,54 : 65
118,University #118,82.5,52.4,70.5,71.0,51.0,77.2,7219,13.9,28%,63 : 50
119,University #119,84.3,30.2,73.9,73.6,48.0,77.4,15143,9.0,34%,48 : 46
120,University #120,71.9,65.6,82.5,71.5,56.3,78.5,2938,16.5,20%,56 : 36
121,University #121,71.3,33.2,72.6,83.2,51.6,77.0,12916,13.5,45%,57 : 46
122,University #122,67.1,46.4,72.1,92.2,28.2,78.7,7307,9.3,21%,54 : 46
123,University #123,60.2,67.9,89.6,72.8,23.3,75.4,2916,5.6,35%,67 : 55
124,University #124,76.8,14.2,69.4,75.0,10.0,76.9,9029,7.9,16%,70 : 47
125,University #125,67.6,25.0,62.5,78.2,48.9,76.0,59486,5.2,4%,39 : 46
126,University #126,75.7,23.6,61.5,75.7,33.6,75.6,40254,6.7,16%,49 : 49
127,University #127,89.5,62.9,71.9,93.4,63.9,81.2,17943,6.8,39%,46 : 41
128,University #128,77.4,55.6,91.1,94.5,59.2,82.1,18772,12.9,12%,32 : 51
129,University #129,82.3,62.4,81.7,84.6,50.5,75.7,1244,12.9,16%,45 : 27
130,University #130,85.3,46.0,80.5,78.7,38.1,76.7,41195,13.1,5%,25 : 56
131,University #131,65.5,19.2,66.9,61.5,39.5,71.0,18108,34.6,46%,56 : 48
132,University #132,83.5,51.0,95.3,83.7,71.7,79.2,10584,20.6,24%,55 : 46
133,University #133,86.3,74.9,78.3,68.3,55.1,81.6,45620,18.1,34%,55 : 50
134,University #134,67.2,40.8,78.9,66.5,30.5,75.6,69055,7.5,12%,59 : 67
135,University #135,68.4,66.1,80.6,69.0,51.7,79.7,25928,17.4,50%,42 : 55
136,University #136,83.2,47.2,69.7,71.7,41.6,77.3,9982,9.2,7%,35 : 60
137,University #137,85.0,82.7,84.4,66.2,60.3,76.9,6228,6.6,28%,59 : 65
138,University #138,61.8,22.7,84.1,90.4,30.0,73.2,10790,13.4,25%,46 : 56
139,University #139,71.0,35.1,64.8,79.1,78.0,71.9,4952,6.3,12%,39 : 45
140,University #140,82.9,5.0,90.5,58.8,10.0,77.5,12869,24.4,38%,37 : 55
141,University #141,79.5,17.1,62.0,90.9,57.7,77.5,8394,13.7,26%,51 : 38
142,University #142,62.9,21.7,73.9,55.1,49.4,74.5,5676,7.0,23%,47 : 50
143,University #143,67.5,60.0,78.0,94.2,64.2,70.9,7111,9.4,27%,49 : 49
144,University #144,67.5,62.8,82.1,57.9,40.0,76.7,8713,5.9,47%,37 : 64
145,University #145,68.2,39.8,65.6,80.8,15.1,71.4,20094,18.9,20%,60 : 52
146,University #146,83.8,5.0,85.8,86.7,35.5,78.9,24846,5.0,3%,58 : 46
147,University #147,76.6,5.0,67.6,64.3,96.2,77.0,1664,17.3,1%,44 : 55
148,University #148,68.4,45.5,86.2,72.5,51.1,76.6,44640,25.2,1%,28 : 59
149,University #149,66.5,25.1,69.7,91.8,59.7,78.8,4718,24.2,23%,44 : 49
150,University #150,78.9,60.7,87.5,76.8,10.0,72.1,20950,11.1,1%,45 : 80
151,University #151,73.0,100.0,60.5,91.8,71.6,75.8,20003,25.0,20%,47 : 55
152,University #152,78.8,34.1,74.4,89.2,48.6,73.4,8698,5.0,17%,72 : 60
153,University #153,68.9,29.4,65.8,86.7,70.2,73.3,2629,21.8,40%,48 : 60
154,University #154,70.6,12.6,47.0,57.9,59.7,67.5,18652,11.1,25%,44 : 59
155,University #155,74.6,14.2,59.4,65.1,36.1,72.2,2475,9.5,25%,35 : 61
156,University #156,67.7,35.9,71.7,79.9,46.6,75.0,2153,14.8,15%,60 : 45
157,University #157,62.4,29.5,70.3,56.2,52.3,71.4,8657,22.0,8%,43 : 37
158,University #158,76.3,24.9,65.2,76.8,17.6,74.4,22307,14.4,11%,60 : 54
159,University #159,68.5,68.7,73.0,54.9,45.1,72.8,7586,16.2,15%,41 : 33
160,University #160,69.6,20.8,64.9,79.1,33.3,72.8,10940,6.6,19%,46 : 64
161,University #161,72.0,50.3,73.4,85.8,34.3,74.3,11461,6.8,40%,44 : 62
162,University #162,67.5,20.7,73.8,92.6,72.7,75.3,10857,7.8,6%,62 : 53
163,University #163,68.7,47.2,70.9,62.7,49.2,69.1,2491,16.1,30%,40 : 69
164,University #164,76.7,78.1,59.3,67.1,45.8,72.5,58111,19.7,39%,54 : 41
165,University #165,63.7,55.1,67.5,75.6,66.8,73.2,37067,5.4,15%,48 : 56
166,University #166,80.4,81.1,73.4,89.1,74.4,72.5,6543,8.0,6%,49 : 50
167,University #167,65.2,63.6,63.7,85.4,50.6,72.1,13714,37.0,19%,57 : 50
168,University #168,78.6,57.8,64.6,77.3,34.1,72.2,14422,23.1,25%,46 : 39
169,University #169,77.8,56.2,56.5,66.9,41.5,75.5,10692,9.0,18%,32 : 44
170,University #170,81.2,20.8,73.2,66.3,56.9,72.2,1377,12.7,29%,55 : 44
171,University #171,75.3,58.3,62.1,72.2,61.4,69.7,749,17.2,42%,44 : 46
172,University #172,73.7,20.2,59.1,68.3,58.5,67.3,3615,45.2,1%,52 : 49
173,University #173,72.8,63.4,52.5,74.8,41.5,66.2,20855,9.7,29%,35 : 49
174,University #174,73.6,5.0,55.7,63.7,47.2,71.0,45689,16.0,18%,45 : 67
175,University #175,77.2,16.9,75.4,57.3,23.2,73.2,25122,12.9,33%,55 : 65
176,University #176,69.4,21.1,67.4,65.8,63.6,68.4,5820,17.3,28%,53 : 54
177,University #177,69.4,40.4,76.5,74.8,82.4,70.8,14293,26.2,24%,60 : 51
178,University #178,65.7,30.5,73.2,60.7,50.4,68.5,2296,9.6,18%,47 : 40
179,University #179,81.2,30.5,82.4,67.7,51.8,72.4,26102,17.4,22%,43 : 59
180,University #180,74.6,50.2,75.0,62.8,57.6,71.2,12436,11.9,24%,46 : 47
181,University #181,66.1,17.5,84.1,66.3,55.2,72.8,28592,14.0,15%,47 : 56
182,University #182,73.9,5.0,53.8,74.2,32.8,69.3,47530,7.1,1%,41 : 37
183,University #183,70.3,22.9,69.8,72.2,33.0,67.2,27746,16.2,49%,47 : 53
184,University #184,70.3,54.9,59.3,71.8,56.0,72.5,10776,20.9,31%,52 : 48
185,University #185,68.0,5.0,53.5,86.7,52.9,67.9,1343,12.8,35%,37 : 46
186,University #186,61.7,6.7,58.1,75.6,52.9,73.1,12153,6.0,44%,51 : 45
187,University #187,77.2,5.0,67.7,57.7,32.6,67.9,26693,5.0,3%,31 : 48
188,University #188,69.7,51.1,62.0,75.3,62.7,66.7,19575,17.1,12%,54 : 48
189,University #189,70.6,43.6,76.7,80.3,93.8,70.9,38390,11.9,24%,35 : 43
190,University #190,60.0,71.6,69.7,49.8,77.5,68.8,53562,9.9,24%,42 : 67
191,University #191,76.4,53.5,72.3,90.5,60.0,73.6,8576,19.3,16%,53 : 45
192,University #192,66.0,14.8,79.5,70.3,57.2,70.0,34193,5.0,28%,44 : 56
193,University #193,70.2,32.8,70.5,53.7,31.7,69.7,4910,12.5,54%,43 : 40
194,University #194,67.4,73.8,64.3,57.0,52.9,69.7,12779,8.7,23%,47 : 64
195,University #195,62.3,32.4,54.6,66.3,78.9,67.8,4216,17.0,30%,52 : 41
196,University #196,77.1,68.1,75.9,89.6,95.8,69.4,9514,12.6,19%,35 : 34
197,University #197,60.9,5.0,73.0,61.2,39.9,65.3,12953,5.0,33%,45 : 47
198,University #198,63.1,36.5,65.2,75.9,44.5,68.9,17954,7.4,13%,69 : 34
199,University #199,64.9,5.0,68.1,54.7,44.8,66.5,7120,14.1,19%,52 : 41
200,University #200,70.6,36.5,68.8,57.8,60.8,65.1,52659,12.3,41%,57 : 40
201,University #201,58.7,32.3,56.2,46.9,59.1,62.7,6589,5.0,18%,56 : 42
202,University #202,60.3,47.7,75.5,55.4,32.4,65.7,5643,5.0,21%,69 : 41
203,University #203,63.1,42.2,55.0,73.5,40.9,65.0,4822,13.0,21%,49 : 66
204,University #204,60.2,19.1,55.2,77.7,79.2,65.7,2965,8.8,15%,40 : 37
205,University #205,71.2,10.2,66.1,52.0,38.3,68.9,11794,7.2,24%,39 : 41
206,University #206,72.4,80.2,68.9,66.5,44.1,64.3,11335,15.8,12%,64 : 57
207,University #207,70.7,5.0,60.4,71.5,77.4,67.8,2579,15.2,4%,59 : 51
208,University #208,71.0,91.8,63.9,67.2,70.0,65.3,12240,27.1,14%,55 : 33
209,University #209,59.6,17.5,57.5,52.4,81.0,67.2,62208,6.9,21%,58 : 41
210,University #210,59.2,26.0,52.1,49.6,43.8,68.1,24626,9.5,35%,43 : 49
211,University #211,69.9,50.3,82.5,63.4,75.8,67.7,21410,10.5,29%,56 : 40
212,University #212,60.4,63.1,57.0,73.8,52.9,64.6,10028,12.7,32%,34 : 59
213,University #213,65.3,61.9,67.7,70.2,21.9,64.9,36632,8.5,18%,26 : 51
214,University #214,62.8,82.7,76.7,67.1,56.2,65.1,22127,10.3,13%,36 : 64
215,University #215,61.8,23.3,50.0,69.2,35.9,63.3,33384,5.5,25%,30 : 41
216,University #216,61.0,63.7,74.8,53.1,42.0,68.6,15841,25.1,60%,59 : 52
217,University #217,55.8,5.0,52.8,66.8,64.2,60.2,9056,17.9,32%,48 : 48
218,University #218,73.9,16.7,67.9,51.6,61.1,66.2,19141,10.5,9%,51 : 54
219,University #219,59.6,33.4,77.9,62.4,80.0,66.0,6164,8.3,11%,46 : 47
220,University #220,71.3,32.5,48.6,66.0,50.9,62.4,12680,9.1,38%,55 : 49
221,University #221,68.7,87.2,57.6,47.4,72.0,63.1,25120,6.5,20%,68 : 43
222,University #222,67.9,63.8,74.1,56.0,23.9,66.5,1620,17.6,28%,49 : 52
223,University #223,51.1,71.6,61.0,80.1,75.1,64.8,5603,25.1,25%,37 : 48
224,University #224,67.3,31.8,66.0,66.4,54.0,63.3,5879,10.9,15%,53 : 47
225,University #225,66.6,49.3,53.5,75.4,50.6,62.3,25808,9.5,38%,54 : 57
226,University #226,68.3,25.4,58.9,62.6,15.2,64.5,27485,8.2,9%,38 : 56
227,University #227,71.7,78.1,67.9,53.1,42.2,62.1,10732,6.4,26%,39 : 53
228,University #228,55.5,40.3,67.4,53.2,45.1,66.2,3619,35.1,32%,51 : 47
229,University #229,58.5,5.7,69.9,51.2,46.0,65.2,9174,25.3,20%,71 : 50
230,University #230,57.5,55.1,57.8,61.2,67.6,62.0,34065,10.2,6%,64 : 54
231,University #231,58.0,5.0,47.6,75.0,59.3,60.6,71319,23.2,28%,56 : 56
232,University #232,58.3,71.7,65.3,50.5,33.7,61.0,40553,18.2,13%,55 : 35
233,University #233,69.1,49.8,68.7,68.3,47.1,64.6,4257,7.5,12%,57 : 46
234,University #234,59.4,58.5,55.9,53.5,52.2,62.3,8306,7.2,26%,51 : 47
235,University #235,61.4,5.0,50.1,72.7,37.1,62.2,10193,5.0,24%,57 : 48
236,University #236,57.9,52.6,74.1,53.5,50.4,61.4,36150,13.5,1%,55 : 52
237,University #237,53.7,15.0,64.5,63.0,43.8,59.8,56617,5.0,21%,68 : 67
238,University #238,56.4,42.1,51.3,52.6,77.3,60.1,8788,13.1,27%,61 : 32
239,University #239,67.4,63.4,60.5,56.7,43.7,62.2,9660,14.2,23%,52 : 38
240,University #240,51.7,47.3,63.6,48.6,46.5,60.8,9872,9.2,13%,44 : 53
241,University #241,49.3,27.6,55.2,60.6,62.9,60.1,2700,9.1,54%,40 : 38
242,University #242,59.2,5.0,55.9,62.5,66.2,63.4,33845,18.7,7%,46 : 33
243,University #243,64.8,5.0,50.7,51.4,39.1,60.7,98958,16.4,27%,50 : 45
244,University #244,61.5,42.2,48.6,70.6,10.0,61.8,19139,17.7,20%,43 : 42
245,University #245,60.6,19.0,45.7,52.6,63.6,56.4,14877,17.7,31%,47 : 41
246,University #246,49.4,74.6,45.6,65.2,16.2,57.9,12619,14.4,21%,42 : 64
247,University #247,57.4,80.2,66.8,64.0,34.2,58.0,14264,8.9,22%,48 : 50
248,University #248,60.6,69.6,61.3,58.6,52.8,63.2,1745,10.2,64%,43 : 67
249,University #249,62.4,20.4,46.4,55.0,34.1,59.8,51114,11.6,31%,57 : 62
250,University #250,54.3,61.7,62.6,71.2,45.1,59.4,12928,5.0,1%,43 : 49
251,University #251,53.7,44.7,60.6,57.3,39.9,62.2,2705,5.9,31%,38 : 36
252,University #252,59.2,12.1,56.3,60.8,30.9,61.3,8704,31.0,39%,53 : 47
253,University #253,54.4,6.0,47.6,41.0,41.5,56.6,4637,19.6,40%,46 : 41
254,University #254,46.6,57.5,47.3,58.3,36.1,58.1,13175,31.1,33%,25 : 50
255,University #255,51.6,44.3,52.2,57.0,77.4,59.5,5900,21.3,36%,45 : 49
256,University #256,54.2,90.7,53.7,47.0,29.7,60.8,24472,13.4,7%,32 : 52
257,University #257,63.7,44.9,70.6,51.0,88.2,62.1,27112,9.8,7%,63 : 66
258,University #258,48.8,25.5,58.6,49.9,31.1,57.9,7064,14.1,28%,57 : 58
259,University #259,63.7,77.7,75.1,63.4,39.1,60.0,2982,6.8,31%,55 : 45
260,University #260,57.0,27.5,46.4,66.5,76.8,56.5,15626,18.1,31%,56 : 49
261,University #261,63.4,46.9,63.1,65.3,68.2,58.2,22360,17.2,12%,29 : 37
262,University #262,54.8,86.3,58.1,43.9,56.7,60.2,5933,10.6,34%,45 : 42
263,University #263,59.0,35.8,60.7,68.9,57.5,59.2,5512,15.6,28%,51 : 47
264,University #264,44.6,60.7,59.7,43.6,54.7,57.8,7114,29.6,1%,41 : 55
265,University #265,53.1,69.3,49.3,41.4,64.5,56.5,52218,8.5,35%,54 : 50
266,University #266,49.8,14.4,66.4,51.8,30.9,57.0,5850,11.0,9%,54 : 39
267,University #267,54.1,53.8,58.9,61.8,74.9,60.0,19365,9.4,78%,47 : 52
268,University #268,50.0,56.0,52.3,71.4,66.3,56.6,100000,13.8,23%,70 : 54
269,University #269,62.8,52.3,71.6,55.7,34.5,59.7,15642,5.8,27%,53 : 69
270,University #270,56.8,13.9,44.7,55.9,41.3,58.6,32927,7.8,23%,57 : 64
271,University #271,63.4,5.4,48.8,62.0,83.7,57.8,9931,10.9,17%,47 : 46
272,University #272,66.6,44.8,71.6,55.2,59.2,60.6,33708,8.4,40%,55 : 49
273,University #273,63.6,42.6,74.4,63.8,79.2,61.7,19191,8.4,43%,70 : 64
274,University #274,55.6,51.2,55.7,40.2,40.5,57.1,29775,17.4,31%,49 : 56
275,University #275,58.5,48.8,55.5,43.5,76.7,56.0,7035,9.6,41%,40 : 34
276,University #276,51.0,48.6,54.3,54.1,33.0,56.4,65491,15.1,23%,69 : 51
277,University #277,54.2,42.3,41.3,59.8,53.9,55.9,5174,10.5,23%,36 : 52
278,University #278,57.3,8.2,56.9,65.9,36.1,58.2,23667,18.5,10%,34 : 37
279,University #279,64.3,14.2,58.9,49.8,59.8,57.6,5980,21.7,1%,43 : 53
280,University #280,62.9,56.9,52.3,49.5,52.3,54.9,15552,11.1,31%,48 : 45
281,University #281,58.4,85.2,50.1,53.7,19.2,57.9,7243,12.9,6%,54 : 25
282,University #282,66.0,65.1,51.0,59.6,43.5,58.5,6122,5.0,35%,59 : 46
283,University #283,63.9,71.7,54.9,69.7,45.3,58.6,35880,13.8,72%,41 : 46
284,University #284,50.3,45.9,55.2,60.4,54.3,56.0,9184,11.1,33%,66 : 59
285,University #285,61.2,68.8,49.8,60.1,16.4,55.3,15072,7.0,30%,60 : 54
286,University #286,48.7,23.9,64.2,70.7,45.2,58.0,10991,17.0,6%,46 : 59
287,University #287,60.3,68.0,60.9,51.9,35.4,55.5,22627,16.1,32%,44 : 66
288,University #288,56.4,83.9,65.9,50.9,75.5,55.6,5192,25.9,38%,30 : 42
289,University #289,62.8,25.2,47.0,58.2,52.1,57.2,9939,7.9,1%,65 : 50
290,University #290,55.2,16.0,49.3,56.9,73.3,55.6,61566,10.1,37%,43 : 47
291,University #291,51.4,49.1,52.6,52.6,39.8,57.1,15993,16.2,18%,53 : 44
292,University #292,50.5,5.0,37.4,46.3,45.7,56.6,16777,8.2,47%,54 : 55
293,University #293,60.6,59.6,42.8,50.3,39.8,58.1,30443,8.0,13%,40 : 53
294,University #294,56.0,47.2,61.7,53.6,36.8,55.8,21959,26.3,37%,47 : 44
295,University #295,49.5,23.1,52.3,59.4,92.8,55.6,8702,11.3,37%,55 : 43
296,University #296,47.4,5.0,53.4,50.0,51.7,56.1,2532,25.9,8%,40 : 52
297,University #297,45.6,26.6,51.1,57.3,36.7,52.8,31020,10.2,1%,53 : 36
298,University #298,53.8,59.4,54.9,58.5,48.7,55.9,34159,6.1,72%,61 : 38
299,University #299,46.2,42.2,63.1,47.5,34.9,53.6,17763,11.8,35%,55 : 55
300,University #300,52.2,13.6,48.0,68.6,10.0,52.5,15810,11.5,14%,44 : 49
301,University #301,51.4,60.3,56.1,37.2,44.4,53.5,7047,18.4,18%,36 : 44
302,University #302,51.7,27.8,45.9,55.5,77.9,54.9,8601,8.8,3%,53 : 41
